incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Vestal Fire,True,2018-01-09T12:45:00Z,2017-08-26T15:03:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Hwy 36 and Vestal Road, west of Red Bluff",40,100,,CAL FIRE Tehama-Glenn Unit,-122.70449,40.29831,,becd0762-0e22-4c54-a1c5-3ecd3660dd70,https://www.fire.ca.gov/incidents/2017/8/26/vestal-fire/,2018-01-09T12:45:00Z,2018-01-09,2017-08-26,N,True,False
Flat Fire,True,2018-01-09T12:45:00Z,2017-08-26T14:31:00Z,CAL FIRE / Fresno County Fire,,Fresno,"Oak Flat Lane and Sales Creek Rd., 5 miles south of Tollhouse ",111,100,,CAL FIRE / Fresno County Fire,-119.43376,36.93332,,90473f02-6572-4a9b-9451-1a18a4bee1ed,https://www.fire.ca.gov/incidents/2017/8/26/flat-fire/,2018-01-09T12:45:00Z,2018-01-09,2017-08-26,N,True,False
Mines Fire,True,2018-01-09T12:45:00Z,2017-08-27T17:45:00Z,CAL FIRE Santa Clara Unit,,Alameda,"Mines Road and Crane Ridge Road, 8 miles S of Livermore",44,100,,CAL FIRE Santa Clara Unit,-121.56425,37.56181,,399dba2c-02c1-4756-a76d-1198d0e838ed,https://www.fire.ca.gov/incidents/2017/8/27/mines-fire/,2018-01-09T12:45:00Z,2018-01-09,2017-08-27,N,True,False
Bodega Fire,True,2018-01-09T12:45:00Z,2017-08-27T13:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Bodega Ave and Nosecchi Rd., east of Petaluma",18,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.71998,38.26294,,d83bfb8a-f1e6-4213-b514-89fc16d2eb72,https://www.fire.ca.gov/incidents/2017/8/27/bodega-fire/,2018-01-09T12:45:00Z,2018-01-09,2017-08-27,N,True,False
Canyon Fire,True,2018-01-09T12:45:00Z,2017-08-27T14:51:00Z,CAL FIRE / USFS - Cleveland National Forest,,Riverside,"Highway 74 and South Main Divide, 2 miles southwest of Lake Elsinore",46,100,,CAL FIRE / USFS - Cleveland National Forest,-117.3968,33.6444,,78754c68-2800-4c5d-aff0-ab0b399ab5ce,https://www.fire.ca.gov/incidents/2017/8/27/canyon-fire/,2018-01-09T12:45:00Z,2018-01-09,2017-08-27,N,False,False
Hill Fire,True,2018-01-09T12:46:00Z,2017-08-27T18:47:00Z,CAL FIRE / Fresno County Fire,,Fresno,Hwy 180 from Hills Valley to Ruth Hill,69,100,,CAL FIRE / Fresno County Fire,-119.28241,36.7279,,386b7562-fe70-490b-a92c-a3c21eece0c2,https://www.fire.ca.gov/incidents/2017/8/27/hill-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-27,N,True,False
Translator Fire,True,2018-01-09T12:46:00Z,2017-08-28T08:01:00Z,Shasta Trinity National Forest,,Humboldt,"Tish Tang Road and Hostler, Hoopa",40,100,,Shasta Trinity National Forest,-123.63721,41.02705,,18a2b3d6-d86e-4147-ab42-d45b8792e98a,https://www.fire.ca.gov/incidents/2017/8/28/translator-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-28,N,False,False
Sandra Fire,True,2018-01-09T12:46:00Z,2017-08-28T17:06:00Z,CAL FIRE Amador-El Dorado Unit,,Amador,"Butte Mountain road, 3 miles east of Jackson",10,100,,CAL FIRE Amador-El Dorado Unit,-120.72274,38.34421,,f3c1f59e-b0d5-4c14-976f-ae6c583b2224,https://www.fire.ca.gov/incidents/2017/8/28/sandra-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-28,N,True,False
Pier Fire,True,2018-01-09T12:47:00Z,2017-08-29T08:29:00Z,CAL FIRE Tulare Unit / USFS - Sequoia National Forest,,Tulare,"Highway 190, east of Springville",36556,100,,"CAL FIRE Tulare Unit / USFS - Sequoia National Forest, Tulare County Sheriff, California Highway Patrol, Caltrans, Tulare County EOC, PG&E, SoCal Edison",-118.74103,36.15356,,c8ebf0c1-e560-4e22-a946-129af8699dfb,https://www.fire.ca.gov/incidents/2017/8/29/pier-fire/,2018-01-09T12:47:00Z,2018-01-09,2017-08-29,N,False,False
Bradley Fire,True,2018-01-09T12:46:00Z,2017-08-28T21:38:00Z,Shasta-Trinity National Forest,,Siskiyou,"Bradley Ridge, City of Dunsmuir ",54,100,,Shasta-Trinity National Forest,-122.27499,41.222,,f8cd3b44-ec6b-4338-9edc-ebd879a8aafc,https://www.fire.ca.gov/incidents/2017/8/28/bradley-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-28,N,False,False
Ponderosa Fire,True,2018-08-30T15:27:00Z,2017-08-29T13:16:00Z,CAL FIRE / Butte County Fire,,Butte,"Ponderosa way and Lumpkin road, 2 miles NW of Forbestown ",4016,100,,"CAL FIRE / Butte County Fire, Butte County Sheriff’s Office, Butte County Fire Department, Butte County, Cal OES, Bureau of Indian Affairs, California Department of Corrections and Rehabilitation, Red Cross, California Highway Patrol, US Forest Service, California Department of Parks and Recreation, PG & E, California Conservation Corps, North Valley Animal Disaster Group, Butte Medics, California Department of Transportation, South Feather Water and Power, Yuba County Sheriff, Yuba County OES and Sierra Pacific Industries.",-121.30209,39.57701,,7c9253af-4c43-41bb-b1de-44af15e0d83e,https://www.fire.ca.gov/incidents/2017/8/29/ponderosa-fire/,2018-08-30T15:27:00Z,2018-08-30,2017-08-29,N,True,False
Railroad Fire,True,2018-01-09T12:46:00Z,2017-08-29T12:19:00Z,USFS - Sierra National Forest,,Madera,"Highway 41, south of Fish Camp",12407,100,,USFS - Sierra National Forest,-119.64622,37.44663,,9989e07d-5125-472d-9601-0d7158b13073,https://www.fire.ca.gov/incidents/2017/8/29/railroad-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-29,N,False,False
Mud Fire,True,2018-01-09T12:47:00Z,2017-08-29T14:36:00Z,"Bureau of Land Mangement ",,Lassen,"Little Mud Flat, 18 miles northeast of Susanville ",6042,100,,"Bureau of Land Mangement ",-120.22215,40.43962,,b77ff66d-d8ee-49c9-bd0f-92a4350a095a,https://www.fire.ca.gov/incidents/2017/8/29/mud-fire/,2018-01-09T12:47:00Z,2018-01-09,2017-08-29,N,False,False
Owens Fire,True,2018-01-09T12:47:00Z,2017-08-29T15:39:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,"off of Owens Rd and Hwy 97, northeast of Dorris ",55,100,,CAL FIRE Siskiyou Unit,-121.90077,41.99483,,62b8a6af-700a-4c93-85d5-a9b85a30faf5,https://www.fire.ca.gov/incidents/2017/8/29/owens-fire/,2018-01-09T12:47:00Z,2018-01-09,2017-08-29,N,True,False
Slinkard Fire,True,2018-01-09T12:47:00Z,2017-08-29T15:15:00Z,"Bureau of Land Management - Owens Valley District ",,Mono,"West of Hwy 395, north of Hwy 89, south of Topaz",8925,100,,"Bureau of Land Management - Owens Valley District ",-119.55425,38.655,,71ea2924-bc37-44f4-b454-47eff22e426c,https://www.fire.ca.gov/incidents/2017/8/29/slinkard-fire/,2018-01-09T12:47:00Z,2018-01-09,2017-08-29,N,False,False
4-4 Fire,True,2018-01-09T12:48:00Z,2017-08-30T11:38:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,"4 miles east of Dorris Reservoir, east of Alturas",28,100,,CAL FIRE Lassen-Modoc Unit,-120.36659,41.4844,,5e01dba8-3d59-41a6-ba60-d78d874eba42,https://www.fire.ca.gov/incidents/2017/8/30/4-4-fire/,2018-01-09T12:48:00Z,2018-01-09,2017-08-30,N,True,False
Pleasant Fire,True,2018-01-09T12:48:00Z,2017-08-30T15:38:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Nevada,"Off Hwy 49 & Pleasant Valley Rd, south of North San Juan  ",392,100," All road closures have been lifted. ","CAL FIRE Nevada-Yuba-Placer Unit, Nevada Co Consolidated, NCSO, Nevada Co OES, CHP, Grass Valley Fire, North San Juan, Nevada City Fire, Campton, State Parks, CDCR, Penn Valley, Nevada Co OES, PG&E, Cal Trans, and Yuba Co S.O.",-121.12004,39.34292,,f571f91e-bc07-450c-8822-3ecc61a27863,https://www.fire.ca.gov/incidents/2017/8/30/pleasant-fire/,2018-01-09T12:48:00Z,2018-01-09,2017-08-30,N,True,False
4-10 Fire,True,2018-01-09T12:48:00Z,2017-08-30T14:50:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,"off Highway 395 and County Road 118, 16 miles north of Alturas.",27,100,,CAL FIRE Lassen-Modoc Unit,-120.31814,41.64469,,182f71e9-0f85-4cb0-8711-ee14c0b6b8f8,https://www.fire.ca.gov/incidents/2017/8/30/4-10-fire/,2018-01-09T12:48:00Z,2018-01-09,2017-08-30,N,True,False
Coalinga Fire,True,2018-01-09T12:48:00Z,2017-08-30T16:51:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,"Mendota Road and Interstate 5, 12 miles north of Coalinga",102,100,,CAL FIRE Fresno-Kings Unit,-120.32685,36.36113,,4adae6c4-71c9-46d1-9743-e04f186b2c3e,https://www.fire.ca.gov/incidents/2017/8/30/coalinga-fire/,2018-01-09T12:48:00Z,2018-01-09,2017-08-30,N,True,False
Miller Fire,True,2018-01-09T12:49:00Z,2017-08-31T13:57:00Z,CAL FIRE/Humboldt-Del Norte Unit,,Humboldt,"Miller Ranch road x Bell Springs road, 10 miles NE Leggett ",34,100,,CAL FIRE/Humboldt-Del Norte Unit,-123.64214,40.03697,,62a6c794-97db-4b57-9033-958bcf2e5a99,https://www.fire.ca.gov/incidents/2017/8/31/miller-fire/,2018-01-09T12:49:00Z,2018-01-09,2017-08-31,N,True,False
Helena - Fork Fire,True,2018-01-09T12:49:00Z,2017-08-30T18:00:00Z,Shasta-Trinity National Forest,,Trinity,"Hwy 299 near town of Helena, Junction City",21846,100,,Shasta-Trinity National Forest,-123.10003,40.76025,,220a986e-6d2c-4893-9473-232d1e1abf0c,https://www.fire.ca.gov/incidents/2017/8/30/helena-fork-fire/,2018-01-09T12:49:00Z,2018-01-09,2017-08-30,N,False,False
Marlborough Fire,True,2018-01-09T12:49:00Z,2017-08-31T10:13:00Z,CAL FIRE/Riverside County Fire Department,,Riverside,Marlborough ave and Northgate street,85,100,,CAL FIRE/Riverside County Fire Department,34.015742,117.337331,,7bc10ea0-55b4-40bd-8eca-36ec10106528,https://www.fire.ca.gov/incidents/2017/8/31/marlborough-fire/,2018-01-09T12:49:00Z,2018-01-09,2017-08-31,N,True,False
Castaic Fire,True,2018-03-22T16:34:00Z,2017-08-31T16:32:00Z,Los Angeles County Fire,,Los Angeles,"I-5, north of Hughes Rd., 2 miles north of Lake Hughes",30,100,,Los Angeles County Fire,-118.62882,34.52055,,1e9d7aca-8862-4dff-a8af-5f687afdfda0,https://www.fire.ca.gov/incidents/2017/8/31/castaic-fire/,2018-03-22T16:34:00Z,2018-03-22,2017-08-31,N,False,False
Border Fire,True,2018-01-09T12:50:00Z,2017-09-01T04:20:00Z,CAL FIRE San Diego Unit,,San Diego,near Hwy 94/Marron Valley Rd in the community of Dulzura.,130,100,,CAL FIRE San Diego Unit,-116.76997,32.6001,,10a447c8-708f-44a3-8679-251500c761d6,https://www.fire.ca.gov/incidents/2017/9/1/border-fire/,2018-01-09T12:50:00Z,2018-01-09,2017-09-01,N,True,False
Summit Complex,True,2019-07-01T13:07:49Z,2017-07-31T13:44:00Z,Stanislaus National Forest,,Stanislaus,The Summit Complex consists of 3 fires burning on the Summit Ranger District of the Stanislaus National Forest.,5247,100,,Stanislaus National Forest,-119.782,38.329,,68328f20-5aed-404d-8c29-81b4b69e8439,https://www.fire.ca.gov/incidents/2017/7/31/summit-complex/,2018-01-09T12:15:00Z,2018-01-09,2017-07-31,N,False,False
Ellie Fire,True,2019-07-01T13:07:31Z,2017-09-10T13:49:00Z,CAL FIRE / Riverside County Fire,,Riverside,"Ellie Way and El Toro Road, Lake Elsinore",34,100,,CAL FIRE / Riverside County Fire,-117.33364,33.73547,,99a7ed51-e64a-4aa9-b8ba-6a9ae4752db0,https://www.fire.ca.gov/incidents/2017/9/10/ellie-fire/,2018-01-09T13:19:00Z,2018-01-09,2017-09-10,N,True,False
Creek Fire,True,2018-01-09T12:50:00Z,2017-09-03T16:23:00Z,"Stanislaus National Forest ",,Stanislaus,"Bourland area of the Stanislaus National Forest ",1749,100,,"Stanislaus National Forest ",-119.941,38.12,,7f33fd28-9a93-438b-84ca-0e57e7c441f4,https://www.fire.ca.gov/incidents/2017/9/3/creek-fire/,2018-01-09T12:50:00Z,2018-01-09,2017-09-03,N,False,False
Hopper Fire,True,2018-01-09T12:49:00Z,2017-09-01T11:21:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Oak Run Road and Hopper Lane, Oak Run",25,100,,CAL FIRE Shasta-Trinity Unit,-122.02525,40.71923,,406e30d2-2ac0-4c0b-998c-761adde20177,https://www.fire.ca.gov/incidents/2017/9/1/hopper-fire/,2018-01-09T12:49:00Z,2018-01-09,2017-09-01,N,True,False
Caldwell Fire,True,2018-01-09T12:50:00Z,2017-09-01T14:37:00Z,Sequoia National Forest,,Kern,"Kernville Rd. x Sierra Way, 6 miles north of Lake Isabella",1319,100,,Sequoia National Forest,-118.406,35.76,,340e471a-a37e-47dd-90da-6c9f35b7eb3b,https://www.fire.ca.gov/incidents/2017/9/1/caldwell-fire/,2018-01-09T12:50:00Z,2018-01-09,2017-09-01,N,False,False
"La Tuna Fire ",True,2018-01-09T12:49:00Z,2017-09-01T13:26:00Z,"LA City, Burbank Fire Department",,Los Angeles,"Lowell Ave and I-210, Verdugo Hills, Los Angeles City",7194,100,,"LA City, Burbank Fire Department",-118.2674,34.22957,,c2bf9820-7e90-43c4-bd3d-1b26ef7ada51,https://www.fire.ca.gov/incidents/2017/9/1/la-tuna-fire/,2018-01-09T12:49:00Z,2018-01-09,2017-09-01,N,False,False
Mission Fire,True,2018-01-09T13:18:00Z,2017-09-03T13:06:00Z,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest,,Madera,"Mission Dr. and Italian Bar Rd., 2 miles east of North Fork",1035,100,Douglas Station Road at Road 225; Rainbow Drive at Road 225; Cascade; Drive at Road 225,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest, CAL FIRE, USFS Sierra National Forest, Madera County Sheriff, CDCR, Madera County Fire, CAL OES, North Fork Rancheria of Mono Indians of California, CHP, and PG&E.",-119.48067,37.21616,,297d6516-ce4f-407d-93f8-9669dc6fd392,https://www.fire.ca.gov/incidents/2017/9/3/mission-fire/,2018-01-09T13:18:00Z,2018-01-09,2017-09-03,N,True,False
Parkfield Fire,True,2018-01-09T12:51:00Z,2017-09-03T09:23:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,"Hwy 198 and Mineral Springs Rd., 9 miles west of Coalinga",100,100,,CAL FIRE Fresno-Kings Unit,-120.52189,36.09486,,a983c540-b47c-4250-a65d-c5d3d76c9b3b,https://www.fire.ca.gov/incidents/2017/9/3/parkfield-fire/,2018-01-09T12:51:00Z,2018-01-09,2017-09-03,N,True,False
Palmer Fire,True,2018-01-09T12:50:00Z,2017-09-02T13:33:00Z,CAL FIRE Riverside Unit,,Riverside,"San Timoteo Canyon Road / Fisherman's Retreat, Beaumont",3874,100,San Timoteo Canyon Road CLOSED from Live Oak Road to Palmer Road,"CAL FIRE Riverside Unit, CAL FIRE/Riverside, California Highway Patrol (CHP), City of Hemet FD, Idyllwild Fire Protection District, Orange County Fire Authority Copter, Riverside City FD, Riverside County Fire Department, San Bernardino County Fire Department, Southern California Edison, USFS – San Bernardino, Union Pacific Railroad",-117.09984,33.97471,,cfa04438-152b-4f4b-a712-4343af8c7fcf,https://www.fire.ca.gov/incidents/2017/9/2/palmer-fire/,2018-01-09T12:50:00Z,2018-01-09,2017-09-02,N,True,False
Margarita Fire,True,2018-01-09T12:50:00Z,2017-09-03T16:59:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Santa Margarita Lake Rd. and W. Pozo Rd., 7 miles SE of Santa Margarita",120,100,,CAL FIRE San Luis Obispo Unit,-120.50886,35.31886,,17cd878b-0d5d-49ff-b205-7e0203908f4c,https://www.fire.ca.gov/incidents/2017/9/3/margarita-fire/,2018-01-09T12:50:00Z,2018-01-09,2017-09-03,N,True,False
Mule Fire,True,2018-01-09T13:19:00Z,2017-09-05T14:55:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Off Hwy 20 and Mule Skinner Road, east of Clearlake ",21,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.49327,39.01748,,180ea977-b5c2-483d-b9f4-c2f8b8b05ebe,https://www.fire.ca.gov/incidents/2017/9/5/mule-fire/,2018-01-09T13:19:00Z,2018-01-09,2017-09-05,N,True,False
Mills File,True,2018-01-09T13:18:00Z,2017-09-03T20:32:00Z,Plumas National Forest,,Plumas,"Hwy 89, ¼ mile north of Crescent Mills",79,100,,Plumas National Forest,-120.9204,40.13278,,ba20d998-185c-48ac-8006-15aadf4d3106,https://www.fire.ca.gov/incidents/2017/9/3/mills-file/,2018-01-09T13:18:00Z,2018-01-09,2017-09-03,N,True,False
Bally Fire,True,2018-01-09T12:50:00Z,2017-09-03T19:17:00Z,CAL FIRE Santa Clara Unit/Gilroy Fire Dept,,Santa Clara,"Ballybunion Ct, Gilroy",100,100,,CAL FIRE Santa Clara Unit/Gilroy Fire Dept,-121.59899,36.99092,,7b02d757-4f96-4616-99d5-04e4eaa34440,https://www.fire.ca.gov/incidents/2017/9/3/bally-fire/,2018-01-09T12:50:00Z,2018-01-09,2017-09-03,N,True,False
Peak Fire,True,2018-01-09T12:51:00Z,2017-09-03T13:10:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa,"Indian Peak Rd and Usona Rd, 9 miles southeast of Mariposa",680,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.83556,37.37397,,c7a0a280-17c9-409b-85f9-fdda301b6ede,https://www.fire.ca.gov/incidents/2017/9/3/peak-fire/,2018-01-09T12:51:00Z,2018-01-09,2017-09-03,N,True,False
R-4 Fire,True,2018-01-09T12:48:00Z,2017-08-30T08:30:00Z,"BLM Northern California District ",,Lassen,23 miles east-southeast of Madeline,18618,100,,"BLM Northern California District ",-119.93499,40.69573,,49757269-445f-4525-8698-858d8e0a5398,https://www.fire.ca.gov/incidents/2017/8/30/r-4-fire/,2018-01-09T12:48:00Z,2018-01-09,2017-08-30,N,False,False
Cove Fire,True,2018-01-09T13:23:00Z,2017-09-23T15:40:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Lynch Canyon Rd & Lakeview Rd, northwest of Lake Nacimiento",25,100,,CAL FIRE San Luis Obispo Unit,-121.04445,35.76343,,92fc9725-ac49-4632-8bbf-e299483940b8,https://www.fire.ca.gov/incidents/2017/9/23/cove-fire/,2018-01-09T13:23:00Z,2018-01-09,2017-09-23,N,True,False
Bradley Fire,True,2018-01-09T12:46:00Z,2017-08-28T22:00:00Z,"Shasta-Trinity National Forest ",,Siskiyou,West of Dunsmuir,54,100,,"Shasta-Trinity National Forest ",-122.292,41.222,,59fae761-fd49-4f06-a2e9-1495c00eb7e9,https://www.fire.ca.gov/incidents/2017/8/28/bradley-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-28,N,False,False
Sandy Fire,True,2018-01-09T12:16:00Z,2017-08-02T11:13:00Z,Shasta-Trinity National Forest,,Trinity,"North of Hwy 299, west of Del Loma",32,100,,Shasta-Trinity National Forest,-123.375,40.804,,5ef75bbf-adba-424a-bef3-a5efed5b5e2c,https://www.fire.ca.gov/incidents/2017/8/2/sandy-fire/,2018-01-09T12:16:00Z,2018-01-09,2017-08-02,N,False,False
Table Fire,True,2018-03-26T10:49:00Z,2017-09-19T00:22:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,"On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown",39,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.504134,37.896778,,38c666cb-6545-428f-985d-a2589dfb3700,https://www.fire.ca.gov/incidents/2017/9/19/table-fire/,2018-03-26T10:49:00Z,2018-03-26,2017-09-19,N,True,False
Border 9 Fire,True,2018-01-09T13:19:00Z,2017-09-07T15:41:00Z,"CAL FIRE / San Diego County Fire Authority ",,San Diego,1 mile west of Tecate Port Of Entry in Potrero,25,100,,"CAL FIRE / San Diego County Fire Authority ",-116.61609,32.59252,,d0b51e42-5558-47c9-8617-34f6f977ab79,https://www.fire.ca.gov/incidents/2017/9/7/border-9-fire/,2018-01-09T13:19:00Z,2018-01-09,2017-09-07,N,True,False
Rattlesnake Fire,True,2018-01-09T13:19:00Z,2017-09-07T15:00:00Z,Yosemite National Park,,Mariposa,Hwy 120 and Big Oak Flat Road near Foresta,0,100,,Yosemite National Park,-119.78256,37.73596,,e21384c7-8060-4336-9a71-a006330d9939,https://www.fire.ca.gov/incidents/2017/9/7/rattlesnake-fire/,2018-01-09T13:19:00Z,2018-01-09,2017-09-07,N,False,False
Linne Fire,True,2018-01-09T13:26:00Z,2017-09-26T16:45:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Linne Rd x Geneseo Rd, east of Paso Robles",74,100,,CAL FIRE San Luis Obispo Unit,-120.56068,35.5956,,98bf51ea-bf23-40a3-b95e-4b795baced3e,https://www.fire.ca.gov/incidents/2017/9/26/linne-fire/,2018-01-09T13:26:00Z,2018-01-09,2017-09-26,N,True,False
Pine Fire,True,2018-01-09T13:19:00Z,2017-09-11T15:11:00Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"off of Hwy 198 and Pine Valley, east of San Lucas",43,100,,CAL FIRE San Benito-Monterey Unit,-120.87609,36.17297,,ed4e06ba-6d17-459a-831a-9b15a9bd116e,https://www.fire.ca.gov/incidents/2017/9/11/pine-fire/,2018-01-09T13:19:00Z,2018-01-09,2017-09-11,N,True,False
Eureka Fire,True,2018-01-09T13:18:00Z,2017-09-05T18:38:00Z,"Plumas National Forest ",,Plumas,McRae Meadows,2575,100,,"Plumas National Forest ",-120.75485,39.75312,,47988f74-d4bd-4ddd-814e-22ebc2ca5ccf,https://www.fire.ca.gov/incidents/2017/9/5/eureka-fire/,2018-01-09T13:18:00Z,2018-01-09,2017-09-05,N,False,False
Shaver Fire,True,2018-01-09T13:19:00Z,2017-09-11T10:00:00Z,CAL FIRE / Fresno County Fire,,Fresno,"Indian Rock Rd and Musick Creek Lane, Community of Shaver Lake",10,100,,CAL FIRE / Fresno County Fire,-119.32109,37.10067,,e1a5b757-2bc1-440f-b3d1-06cd41171775,https://www.fire.ca.gov/incidents/2017/9/11/shaver-fire/,2018-01-09T13:19:00Z,2018-01-09,2017-09-11,N,True,False
Skeleton Fire,True,2018-01-09T13:20:00Z,2017-09-12T14:36:00Z,Mendocino National Forest,,Lake,"Skeleton Glade, 5 miles east of Lake Pillsbury ",200,100,,Mendocino National Forest,-122.85194,39.44543,,089f95f8-8834-4cc6-87c7-15cb1aeca7b8,https://www.fire.ca.gov/incidents/2017/9/12/skeleton-fire/,2018-01-09T13:20:00Z,2018-01-09,2017-09-12,N,False,False
Soda Fire,True,2018-01-09T13:27:00Z,2017-09-28T14:46:00Z,CAL FIRE / Butte County Fire,,Butte,"Humboldt Rd and Soda Springs Rd, 14 miles NE Forest Ranch",143,100,,CAL FIRE / Butte County Fire,-121.56858,40.07613,,01202971-a157-41f8-91cc-cf7c3b8f9473,https://www.fire.ca.gov/incidents/2017/9/28/soda-fire/,2018-01-09T13:27:00Z,2018-01-09,2017-09-28,N,True,False
Miller Complex,True,2018-01-09T12:42:00Z,2017-08-14T14:00:00Z,Rogue River-Siskiyou National Forest,,Siskiyou,"17 miles east of Cave Junction, Oregon",39715,100,,Rogue River-Siskiyou National Forest,-123.218,42.039,,d43c681d-b57e-47e6-a6ad-e3ed08de9ff7,https://www.fire.ca.gov/incidents/2017/8/14/miller-complex/,2018-01-09T12:42:00Z,2018-01-09,2017-08-14,N,False,False
Skeggs Fire,True,2018-01-09T13:20:00Z,2017-09-11T19:41:00Z,"CAL FIRE San Mateo-Santa Cruz Unit ",,San Mateo,"Skyline Rd and Skeggs Point, 3 miles west of Woodside",50,100,,"CAL FIRE San Mateo-Santa Cruz Unit , Woodside Fire Protection District, Kings Mountain Volunteer Fire Company, San Mateo County Sheriff’s Office, Mid-Peninsula Open Space District, CAL Water, and San Mateo County Parks.",-122.3001,37.41591,,81b26bc7-7d65-4591-9d27-4e698cab4f12,https://www.fire.ca.gov/incidents/2017/9/11/skeggs-fire/,2018-01-09T13:20:00Z,2018-01-09,2017-09-11,N,True,False
Berry Fire,True,2018-01-09T13:21:00Z,2017-09-12T06:58:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"off of Baker Rd, east of Big Bend",995,100,<li>River Road is closed from Pit 4 Dam to Pit 3 Powerhouse</li>,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Shasta-Trinity National Forest, Pacific Gas and Electric, Shasta County Sheriff’s Office, Burney Fire Protection District",-121.81623,40.98352,,4a015862-8ac1-4c91-aa4c-c9831630b75a,https://www.fire.ca.gov/incidents/2017/9/12/berry-fire/,2018-01-09T13:21:00Z,2018-01-09,2017-09-12,N,True,False
Hole Fire,True,2018-01-09T13:20:00Z,2017-09-12T12:45:00Z,Six Rivers National Forest,,Del Norte,"off Low Divide Rd, west of Rockland",40,100,,Six Rivers National Forest,-124.01168,41.98128,,59d6fc84-0d58-4e29-b910-1993dba51b3a,https://www.fire.ca.gov/incidents/2017/9/12/hole-fire/,2018-01-09T13:20:00Z,2018-01-09,2017-09-12,N,False,False
Pacific Fire,True,2018-01-09T13:21:00Z,2017-09-12T17:24:00Z,CAL FIRE/Butte County Fire,,Butte,"off Pacific Heights Road, west of Palermo",12,100,,CAL FIRE/Butte County Fire,-121.60683,39.44257,,ea832344-b0c6-4443-b5f0-457c462d911c,https://www.fire.ca.gov/incidents/2017/9/12/pacific-fire/,2018-01-09T13:21:00Z,2018-01-09,2017-09-12,N,True,False
Slides Fire,True,2019-07-01T13:07:14Z,2017-09-12T16:08:00Z,USFS - Mendocino National Forest,,Lake,"Elk Mountain Rd, west of Lake Pillsbury",58,100,,USFS - Mendocino National Forest,-123.03344,39.42604,,ab08cb64-67c4-4e7d-8081-b5574131f755,https://www.fire.ca.gov/incidents/2017/9/12/slides-fire/,2018-01-09T13:20:00Z,2018-01-09,2017-09-12,N,False,False
Buck Fire,True,2018-01-09T13:21:00Z,2017-09-12T17:42:00Z,Shasta Trinity National Forest,,Trinity,"Black Rock Mountain, North Portion of Yolla BollyWilderness",13417,100,,Shasta Trinity National Forest,-123.03583,40.2275,,7cc06465-bf2a-4df2-a68d-5f330e1cea42,https://www.fire.ca.gov/incidents/2017/9/12/buck-fire/,2018-01-09T13:21:00Z,2018-01-09,2017-09-12,N,False,False
French Fire,True,2018-01-09T13:21:00Z,2017-09-17T15:18:00Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,"off French Creek Rd near Bonnetti Rd, south of the community of Shingle Springs",136,100,,"CAL FIRE Amador-El Dorado Unit, CAL FIRE, El Dorado Hills Fire, Garden Valley Fire, Georgetown Fire, Rescue Fire",-120.915,38.5758,,f7a51800-b219-428c-aef0-ee5fa5de4d64,https://www.fire.ca.gov/incidents/2017/9/17/french-fire/,2018-01-09T13:21:00Z,2018-01-09,2017-09-17,N,True,False
