incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Sycamore Fire,True,2020-06-26T18:04:12Z,2020-06-23T08:23:48Z,CAL FIRE Fresno County Fire,,Fresno,Sycamore Road and Coyote Drive Southeast of Tollhouse,19,100,,,-119.33439,36.97511,Wildfire,c5071feb-80ec-4fbb-9d2f-eee1f1cea68a,https://www.fire.ca.gov/incidents/2020/6/23/sycamore-fire/,2020-06-26T18:04:00Z,2020-06-26,2020-06-23,N,True,False
R-2 Fire,True,2020-07-02T14:21:37Z,2020-06-23T21:12:11Z,Bureau of Land Management Northern California District,,Lassen,"Highway 395 and Smoke Creek Rod, Northeast of Susanville ",563,100,,"Bureau of Land Management Northern California District ",-120.28147,40.43203,Wildfire,7d7f682a-0266-4758-93e6-795488af0687,https://www.fire.ca.gov/incidents/2020/6/23/r-2-fire/,2020-06-26T18:00:00Z,2020-06-26,2020-06-23,N,False,False
R-3 Fire,True,2020-07-02T14:22:13Z,2020-06-24T07:49:19Z,,,Lassen,Skedaddle Ranch Road and Spencer Basin Road Northeast of Herlong,210,100,,Bureau of Land Management Northern California District – Susanville,-120.04635,40.44793,Wildfire,54364494-e201-476a-8dc7-fbf2e0f94f60,https://www.fire.ca.gov/incidents/2020/6/24/r-3-fire/,2020-06-26T18:00:00Z,2020-06-26,2020-06-24,N,False,False
58 Fire,True,2020-06-29T07:00:24Z,2020-06-24T17:49:08Z,"CAL FIRE Riverside County Fire ",,Riverside,"Van Buren Street and Avenue 58, Thermal",12,100,,"CAL FIRE Riverside County Fire ",-115.96594,33.27665,Wildfire,5b8b9b63-9cc6-4d55-9502-87009d75732c,https://www.fire.ca.gov/incidents/2020/6/24/58-fire/,2020-06-27T06:58:00Z,2020-06-27,2020-06-24,N,True,False
Diablo Fire,True,2020-06-26T18:32:50Z,2020-06-25T06:47:01Z,CAL FIRE Santa Clara Unit,,Stanislaus,Del Puerto Canyon and Diablo Grande,202,100,,,-121.18355,37.462649999999996,Wildfire,64b9cf19-314a-4986-ae35-cf89f1f8bc2a,https://www.fire.ca.gov/incidents/2020/6/25/diablo-fire/,2020-06-26T18:32:00Z,2020-06-26,2020-06-25,N,True,False
Bend Fire,True,2020-06-29T07:06:13Z,2020-06-25T17:28:46Z,BLM California Central District,,San Luis Obispo,"Belmont Trail and Bend Rd, California Valley ",263,100,,"BLM California Central District ",-119.88048,35.30742,Wildfire,d10cd103-f627-497d-a338-6430438ed7fb,https://www.fire.ca.gov/incidents/2020/6/25/bend-fire/,2020-06-28T07:06:00Z,2020-06-28,2020-06-25,N,False,False
Aurora Fire,True,2020-07-03T11:08:11Z,2020-06-26T15:13:24Z,BLM Central California District,,Mono,"Bodie Rd, east of Bridgeport",280,100,,BLM California Central District,-119.00289,38.22554,Wildfire,5b2b1489-ad5b-4104-b267-fdd61c0c48e9,https://www.fire.ca.gov/incidents/2020/6/26/aurora-fire/,2020-07-02T11:07:00Z,2020-07-02,2020-06-26,N,False,False
Indian Fire,True,2020-06-28T20:11:23Z,2020-06-26T17:07:51Z,CAL FIRE/Riverside County Fire Department,,Riverside,"Wheeler Rd and Tripp Flats Rd, community of Anza",59,100,,,-116.750925,33.565093,Wildfire,b13b3fea-fd2f-4c14-925b-63737df97f2e,https://www.fire.ca.gov/incidents/2020/6/26/indian-fire/,,,2020-06-26,N,True,False
Poeville Fire,True,2020-07-07T14:37:18Z,2020-06-27T19:08:50Z,Unified Command: USFS and Truckee Meadows Fire Protection District,,State of Nevada,"Highway 395 Truckee Meadows ",2975,100,,Humboldt-Toiyabe National Forest,-119.81098,39.32596,Wildfire,4db7101a-8097-4211-ab16-544f136dd35c,https://www.fire.ca.gov/incidents/2020/6/27/poeville-fire/,2020-07-06T14:36:00Z,2020-07-06,2020-06-27,N,False,False
Pass Fire,True,2020-07-03T07:34:59Z,2020-06-28T13:28:53Z,CAL FIRE Madera-Mariposa-Merced Unit,,Merced,"Hwy 152 and Dinosaur Point Rd, near Santa Nella",2192,100,,,-121.21912,37.06641,Wildfire,a9397846-b830-4a42-a7e6-d2be9684a989,https://www.fire.ca.gov/incidents/2020/6/28/pass-fire/,2020-07-03T07:34:00Z,2020-07-03,2020-06-28,N,True,False
Gage Fire,True,2020-07-03T11:06:37Z,2020-06-28T15:58:46Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Running Deer Rd and Gage Irving Road,33,100,,,-120.96759,35.69993,Wildfire,a6c54f7f-20f5-4c3b-a27b-745d7274def6,https://www.fire.ca.gov/incidents/2020/6/28/gage-fire/,2020-06-28T11:06:00Z,2020-06-28,2020-06-28,N,True,False
"Muck Fire ",True,2020-06-29T18:49:13Z,2020-06-29T12:35:41Z,"CAL FIRE Lassen- Modoc Unit ",,Lassen,"Highway 299 and Muck Valley Road, South of Nubieber ",12,100,,,-121.2199939,41.0336731,Wildfire,58a3d354-a532-440e-bfa8-aca414cf4cd0,https://www.fire.ca.gov/incidents/2020/6/29/muck-fire/,2020-06-29T18:49:00Z,2020-06-29,2020-06-29,N,True,False
Avacado Fire,True,2020-07-03T19:15:31Z,2020-06-30T15:43:01Z,"CAL FIRE Butte Unit ",,Butte,"Bangor Park Road and Teddy Lane, West of Bangor  ",136,100,,,-121.4319,39.3784,Wildfire,fd24cc01-1057-4572-a83b-1775d49f42f7,https://www.fire.ca.gov/incidents/2020/6/30/avacado-fire/,2020-07-03T19:15:00Z,2020-07-03,2020-06-30,N,True,False
Flat Fire,True,2020-07-30T15:25:36Z,2020-06-30T17:40:16Z,Shasta Trinity National Forest,,Trinity,"Highway 299W and Mill Creek Road, Southeast of Burnt Ranch  ",62,100,,Shasta Trinity National Forest,-123.437051,40.791509,Wildfire,49378c25-ecdb-406d-829b-755f2b248fcd,https://www.fire.ca.gov/incidents/2020/6/30/flat-fire/,2020-07-24T15:25:00Z,2020-07-24,2020-06-30,N,False,False
